epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.23076923191547394,3.521907329559326,0.4920634925365448,2.8090434074401855,0.0005000000237487257
2,0.4214896261692047,2.7760252952575684,0.5952380895614624,2.2234909534454346,0.0005000000237487257
3,0.5589743852615356,2.317403554916382,0.7539682388305664,1.8156341314315796,0.0005000000237487257
4,0.6654456853866577,1.9809246063232422,0.7539682388305664,1.7254513502120972,0.0005000000237487257
5,0.721611738204956,1.7536782026290894,0.8492063283920288,1.4532952308654785,0.0005000000237487257
6,0.7555555701255798,1.582276463508606,0.8253968358039856,1.4363389015197754,0.0005000000237487257
7,0.7787545919418335,1.443239688873291,0.8571428656578064,1.2870272397994995,0.0005000000237487257
8,0.7885226011276245,1.3551784753799438,0.8095238208770752,1.2228342294692993,0.0005000000237487257
9,0.8083028197288513,1.2507894039154053,0.7857142686843872,1.195104956626892,0.0005000000237487257
10,0.8134310245513916,1.16902494430542,0.8888888955116272,1.027832269668579,0.0005000000237487257
11,0.8300366401672363,1.0924409627914429,0.8333333134651184,1.0644536018371582,0.0005000000237487257
12,0.8442002534866333,1.0150641202926636,0.8809523582458496,0.9644361138343811,0.0005000000237487257
13,0.8517704606056213,0.9645645022392273,0.8571428656578064,1.0182048082351685,0.0005000000237487257
14,0.8551892638206482,0.9286045432090759,0.8492063283920288,0.9919224381446838,0.0005000000237487257
15,0.8698412775993347,0.8689066171646118,0.8571428656578064,0.9625939130783081,0.0005000000237487257
16,0.8778998851776123,0.8236186504364014,0.9047619104385376,0.8611538410186768,0.0005000000237487257
17,0.8842490911483765,0.780343234539032,0.9126983880996704,0.7679785490036011,0.0005000000237487257
18,0.8959707021713257,0.7312763333320618,0.920634925365448,0.7049821019172668,0.0005000000237487257
19,0.8974359035491943,0.7162112593650818,0.9444444179534912,0.6789701581001282,0.0005000000237487257
20,0.9103785157203674,0.6599793434143066,0.920634925365448,0.7019680738449097,0.0005000000237487257
21,0.9089133143424988,0.6373201608657837,0.9285714030265808,0.6506927013397217,0.0005000000237487257
22,0.9118437170982361,0.6044948101043701,0.8888888955116272,0.7459123134613037,0.0005000000237487257
23,0.9177045226097107,0.5757522583007812,0.8571428656578064,0.6850765943527222,0.0005000000237487257
24,0.9267399311065674,0.5547392964363098,0.9285714030265808,0.63883376121521,0.0005000000237487257
25,0.9203907251358032,0.5525346994400024,0.89682537317276,0.6137686967849731,0.0005000000237487257
26,0.9279609322547913,0.5200468301773071,0.9126983880996704,0.6254274845123291,0.0005000000237487257
27,0.9272283315658569,0.5116115212440491,0.9285714030265808,0.5456608533859253,0.0005000000237487257
28,0.9335775375366211,0.4781840443611145,0.9126983880996704,0.5213394165039062,0.0005000000237487257
29,0.9357753396034241,0.454716295003891,0.9603174328804016,0.47330474853515625,0.0005000000237487257
30,0.9440781474113464,0.43969959020614624,0.9523809552192688,0.5260177850723267,0.0005000000237487257
31,0.9362637400627136,0.43938949704170227,0.920634925365448,0.4907171130180359,0.0005000000237487257
32,0.9455433487892151,0.4064098000526428,0.920634925365448,0.4592744708061218,0.0005000000237487257
33,0.9460317492485046,0.3950980603694916,0.9047619104385376,0.5291074514389038,0.0005000000237487257
34,0.9450549483299255,0.3994101881980896,0.9285714030265808,0.5098696947097778,0.0005000000237487257
35,0.9526251554489136,0.3848050832748413,0.9523809552192688,0.5164254307746887,0.0005000000237487257
36,0.9496947526931763,0.3647862672805786,0.9285714030265808,0.44905829429626465,0.0005000000237487257
37,0.9555555582046509,0.3508839011192322,0.920634925365448,0.4955117702484131,0.0005000000237487257
38,0.9560439586639404,0.3445451259613037,0.9444444179534912,0.40769708156585693,0.0005000000237487257
39,0.9623931646347046,0.31984269618988037,0.9682539701461792,0.3863399922847748,0.0005000000237487257
40,0.9606837630271912,0.31406667828559875,0.9603174328804016,0.3938596248626709,0.0005000000237487257
