epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.31990233063697815,3.2080183029174805,0.5555555820465088,2.8619272708892822,0.0005000000237487257
2,0.47765567898750305,2.690154552459717,0.6111111044883728,2.3701398372650146,0.0005000000237487257
3,0.5338217616081238,2.432783842086792,0.6746031641960144,2.1817100048065186,0.0005000000237487257
4,0.5841270089149475,2.2352161407470703,0.658730149269104,1.970214605331421,0.0005000000237487257
5,0.627106249332428,2.0420262813568115,0.682539701461792,1.8709219694137573,0.0005000000237487257
6,0.6659340858459473,1.8715522289276123,0.7301587462425232,1.6762019395828247,0.0005000000237487257
7,0.6930403113365173,1.722009539604187,0.7539682388305664,1.550581455230713,0.0005000000237487257
8,0.7396825551986694,1.5685230493545532,0.7301587462425232,1.4442898035049438,0.0005000000237487257
9,0.7548229694366455,1.4610193967819214,0.6984127163887024,1.5271995067596436,0.0005000000237487257
10,0.7775335907936096,1.3377891778945923,0.8015872836112976,1.2317280769348145,0.0005000000237487257
11,0.7990232110023499,1.2391562461853027,0.7857142686843872,1.2835772037506104,0.0005000000237487257
12,0.8168498277664185,1.1603686809539795,0.8015872836112976,1.14993417263031,0.0005000000237487257
13,0.817338228225708,1.1135334968566895,0.841269850730896,1.105640172958374,0.0005000000237487257
14,0.8461538553237915,1.040270447731018,0.817460298538208,0.9961199164390564,0.0005000000237487257
15,0.8622710704803467,0.9682757258415222,0.8650793433189392,0.9354711771011353,0.0005000000237487257
16,0.860805869102478,0.9256537556648254,0.8333333134651184,0.9745182394981384,0.0005000000237487257
17,0.8754578828811646,0.8819195628166199,0.9047619104385376,0.8295109868049622,0.0005000000237487257
18,0.8930402994155884,0.8070942163467407,0.8809523582458496,0.7892107963562012,0.0005000000237487257
19,0.8969475030899048,0.7734026312828064,0.9126983880996704,0.7288821339607239,0.0005000000237487257
20,0.9164835214614868,0.711230993270874,0.8809523582458496,0.8131478428840637,0.0005000000237487257
21,0.9164835214614868,0.6928191184997559,0.8888888955116272,0.8517171144485474,0.0005000000237487257
22,0.9213675260543823,0.6552107334136963,0.9126983880996704,0.6263846755027771,0.0005000000237487257
23,0.9299145340919495,0.6112159490585327,0.9365079402923584,0.5858168601989746,0.0005000000237487257
24,0.9360195398330688,0.5895695090293884,0.9603174328804016,0.5213364958763123,0.0005000000237487257
25,0.9465201497077942,0.5456394553184509,0.920634925365448,0.6023784875869751,0.0005000000237487257
26,0.9501831531524658,0.5235958099365234,0.9047619104385376,0.6615623831748962,0.0005000000237487257
27,0.9474969506263733,0.5247172117233276,0.920634925365448,0.6370140910148621,0.0005000000237487257
28,0.9470085501670837,0.5051075220108032,0.9444444179534912,0.5029405355453491,0.0005000000237487257
29,0.9577533602714539,0.46955132484436035,0.9444444179534912,0.48160651326179504,0.0005000000237487257
30,0.9531135559082031,0.4643467664718628,0.9365079402923584,0.485107958316803,0.0005000000237487257
31,0.9621489644050598,0.4333043098449707,0.9523809552192688,0.48046696186065674,0.0005000000237487257
32,0.9667887687683105,0.4069068133831024,0.9126983880996704,0.6375028491020203,0.0005000000237487257
33,0.9614163637161255,0.41527119278907776,0.9047619104385376,0.598466157913208,0.0005000000237487257
34,0.9638583660125732,0.39826294779777527,0.9126983880996704,0.5187311172485352,0.0005000000237487257
35,0.9648351669311523,0.386339008808136,0.9523809552192688,0.4375652074813843,0.0005000000237487257
36,0.9736263751983643,0.3653903603553772,0.9365079402923584,0.4173670709133148,0.0005000000237487257
37,0.9753357768058777,0.3428895175457001,0.9444444179534912,0.4164465367794037,0.0005000000237487257
38,0.9731379747390747,0.34245049953460693,0.9444444179534912,0.37908974289894104,0.0005000000237487257
39,0.9750915765762329,0.3264116644859314,0.9682539701461792,0.3798311948776245,0.0005000000237487257
40,0.9755799770355225,0.3216994106769562,0.9523809552192688,0.3921579420566559,0.0005000000237487257
