epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.3868131935596466,3.0454511642456055,0.6428571343421936,2.524625778198242,0.0005000000237487257
2,0.6703296899795532,2.1202311515808105,0.8333333134651184,1.730257511138916,0.0005000000237487257
3,0.7599511742591858,1.7471787929534912,0.8492063283920288,1.4619290828704834,0.0005000000237487257
4,0.8002442121505737,1.5325957536697388,0.8888888955116272,1.3512964248657227,0.0005000000237487257
5,0.8312576413154602,1.3663522005081177,0.8333333134651184,1.3175649642944336,0.0005000000237487257
6,0.8549450635910034,1.237118124961853,0.920634925365448,1.0946952104568481,0.0005000000237487257
7,0.8686202764511108,1.1252717971801758,0.9603174328804016,1.0013877153396606,0.0005000000237487257
8,0.8862026929855347,1.0325663089752197,0.9444444179534912,0.9555847644805908,0.0005000000237487257
9,0.8976801037788391,0.9538439512252808,0.9285714030265808,0.8365717530250549,0.0005000000237487257
10,0.9052503108978271,0.8856534957885742,0.8809523582458496,0.8484317064285278,0.0005000000237487257
11,0.9189255237579346,0.8197268843650818,0.8809523582458496,0.8416391015052795,0.0005000000237487257
12,0.9172161221504211,0.7656715512275696,0.9126983880996704,0.7279701828956604,0.0005000000237487257
13,0.925030529499054,0.724433183670044,0.9365079402923584,0.6910427212715149,0.0005000000237487257
14,0.9338217377662659,0.6812403798103333,0.9126983880996704,0.6964967250823975,0.0005000000237487257
15,0.9294261336326599,0.6546521186828613,0.9285714030265808,0.5616723299026489,0.0005000000237487257
16,0.9335775375366211,0.6129430532455444,0.9603174328804016,0.5636791586875916,0.0005000000237487257
17,0.9455433487892151,0.5764040350914001,0.9603174328804016,0.5117717981338501,0.0005000000237487257
18,0.9377289414405823,0.5732139348983765,0.9682539701461792,0.5026298761367798,0.0005000000237487257
19,0.9416361451148987,0.5312421321868896,0.9920634627342224,0.4598905146121979,0.0005000000237487257
20,0.9650793671607971,0.4643646776676178,0.976190447807312,0.4021456241607666,0.0005000000237487257
21,0.9653235673904419,0.44857892394065857,0.9444444179534912,0.45620033144950867,0.0005000000237487257
22,0.9589743614196777,0.4615131616592407,0.9523809552192688,0.4344256520271301,0.0005000000237487257
23,0.9714285731315613,0.4164796769618988,0.9682539701461792,0.39549940824508667,0.0005000000237487257
24,0.9721611738204956,0.38915303349494934,0.9841269850730896,0.40465444326400757,0.0005000000237487257
25,0.9677655696868896,0.3892441987991333,0.9603174328804016,0.38167905807495117,0.0005000000237487257
26,0.976068377494812,0.35638710856437683,0.9920634627342224,0.33291661739349365,0.0005000000237487257
27,0.9768009781837463,0.3491663634777069,0.976190447807312,0.3544061481952667,0.0005000000237487257
28,0.976068377494812,0.32759878039360046,0.9841269850730896,0.34116047620773315,0.0005000000237487257
29,0.9768009781837463,0.3139634132385254,0.9682539701461792,0.43901875615119934,0.0005000000237487257
30,0.9794871807098389,0.3100551962852478,0.9682539701461792,0.32753875851631165,0.0005000000237487257
31,0.9755799770355225,0.3041354715824127,0.976190447807312,0.3057006895542145,0.0005000000237487257
32,0.9775335788726807,0.28475403785705566,0.9841269850730896,0.2992802560329437,0.0005000000237487257
33,0.9797313809394836,0.2703357934951782,0.9682539701461792,0.33986130356788635,0.0005000000237487257
34,0.982661783695221,0.2600061297416687,0.9682539701461792,0.3482862710952759,0.0005000000237487257
35,0.9816849827766418,0.25514277815818787,0.976190447807312,0.3210654556751251,0.0005000000237487257
36,0.9829059839248657,0.24464575946331024,0.976190447807312,0.259053498506546,0.0005000000237487257
37,0.9833943843841553,0.24312841892242432,0.9682539701461792,0.30563363432884216,0.0005000000237487257
38,0.9770451784133911,0.24515202641487122,1.0,0.1961870938539505,0.0005000000237487257
39,0.9811965823173523,0.23701784014701843,0.9841269850730896,0.2337164282798767,0.0005000000237487257
40,0.982661783695221,0.23221997916698456,0.9682539701461792,0.30827707052230835,0.0005000000237487257
