epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.27032968401908875,2.628406286239624,0.420634925365448,2.2301790714263916,0.0005000000237487257
2,0.5523809790611267,1.7695825099945068,0.7777777910232544,1.3511897325515747,0.0005000000237487257
3,0.6981685161590576,1.3757226467132568,0.8492063283920288,1.1198885440826416,0.0005000000237487257
4,0.7399267554283142,1.1869688034057617,0.8730158805847168,0.9490538239479065,0.0005000000237487257
5,0.7699633836746216,1.079593539237976,0.8888888955116272,0.8514162302017212,0.0005000000237487257
6,0.7941392064094543,0.9903850555419922,0.8333333134651184,0.8691532015800476,0.0005000000237487257
7,0.8107448220252991,0.9278772473335266,0.8730158805847168,0.7880098819732666,0.0005000000237487257
8,0.8405372500419617,0.8615056872367859,0.9444444179534912,0.7640520334243774,0.0005000000237487257
9,0.8503052592277527,0.8051077723503113,0.8730158805847168,0.680728018283844,0.0005000000237487257
10,0.8593406677246094,0.7653667330741882,0.841269850730896,0.7025325894355774,0.0005000000237487257
11,0.8747252821922302,0.728580117225647,0.9047619104385376,0.5787243247032166,0.0005000000237487257
12,0.877167284488678,0.6876974701881409,0.9444444179534912,0.5721951723098755,0.0005000000237487257
13,0.8837606906890869,0.6553298830986023,0.89682537317276,0.5753249526023865,0.0005000000237487257
14,0.8954823017120361,0.6187031865119934,0.9603174328804016,0.5002756714820862,0.0005000000237487257
15,0.9003663063049316,0.5814183354377747,0.9365079402923584,0.45207852125167847,0.0005000000237487257
16,0.9062271118164062,0.568300187587738,0.9126983880996704,0.5883890390396118,0.0005000000237487257
17,0.9074481129646301,0.5484130382537842,0.9444444179534912,0.5395464301109314,0.0005000000237487257
18,0.9062271118164062,0.53595370054245,0.9365079402923584,0.4147694408893585,0.0005000000237487257
19,0.9196581244468689,0.4910059869289398,0.9682539701461792,0.4980146884918213,0.0005000000237487257
20,0.920634925365448,0.48227402567863464,0.9285714030265808,0.5117584466934204,0.0005000000237487257
21,0.9318681359291077,0.46178409457206726,0.9523809552192688,0.4701555073261261,0.0005000000237487257
22,0.9372405409812927,0.42747217416763306,0.9444444179534912,0.39966005086898804,0.0005000000237487257
23,0.9352869391441345,0.4295153021812439,0.920634925365448,0.4340325593948364,0.0005000000237487257
24,0.9474969506263733,0.40209248661994934,0.976190447807312,0.30134841799736023,0.0005000000237487257
25,0.9418803453445435,0.39595600962638855,0.9603174328804016,0.3769887685775757,0.0005000000237487257
26,0.9623931646347046,0.33851784467697144,0.976190447807312,0.31112954020500183,0.0005000000237487257
27,0.9584859609603882,0.34067392349243164,0.9682539701461792,0.31222066283226013,0.0005000000237487257
28,0.9653235673904419,0.3275434970855713,0.9682539701461792,0.3129330575466156,0.0005000000237487257
29,0.9614163637161255,0.3201363682746887,0.9841269850730896,0.25702351331710815,0.0005000000237487257
30,0.9636141657829285,0.31125813722610474,0.976190447807312,0.33690008521080017,0.0005000000237487257
31,0.9672771692276001,0.2990407943725586,0.9365079402923584,0.41837140917778015,0.0005000000237487257
32,0.9724053740501404,0.2731455862522125,0.9920634627342224,0.2130095213651657,0.0005000000237487257
33,0.9746031761169434,0.26508694887161255,0.9523809552192688,0.2809965908527374,0.0005000000237487257
34,0.9765567779541016,0.2526988685131073,0.9841269850730896,0.21266858279705048,0.0005000000237487257
35,0.9775335788726807,0.24155472218990326,0.9841269850730896,0.20732615888118744,0.0005000000237487257
36,0.976068377494812,0.24713538587093353,0.9841269850730896,0.18915508687496185,0.0005000000237487257
37,0.9743589758872986,0.2374696284532547,0.9523809552192688,0.2816047668457031,0.0005000000237487257
38,0.9802197813987732,0.22441166639328003,0.9682539701461792,0.2412281185388565,0.0005000000237487257
39,0.9814407825469971,0.20735938847064972,0.9603174328804016,0.24987417459487915,0.0005000000237487257
40,0.978266179561615,0.21665316820144653,0.9920634627342224,0.16536909341812134,0.0005000000237487257
