Signer,Clips,Frame rate(s) found,Resolution(s) found,Frames per clip (mean),Frames per clip (min-max),Duration s (mean)
Britney,483,30,"1024x680, 1920x1080",25.4000,15-176,0.8500
Grace,452,"30, 60","1024x680, 1920x1080",25.2000,15-64,0.8400
