Protocol,What it measures,Folds / seeds,Accuracy (%),Macro F1 (%)
Signer-dependent (sample-level stratified split),generalization to unseen repetitions by known signers,1 split x 1 seeds,97.62 +/- 0.00,97.62
Signer-independent (leave-one-signer-out),generalization to an unseen signer,2 folds x 1 seeds,55.80,49.67
